{'text': 'the one-on-one', 'start': 2.0, 'duration': 4.85}
{'text': 'will know why', 'start': 748.399, 'duration': 2.481}
{'text': "your best but you don't succeed", 'start': 751.68, 'duration': 5.52}
{'text': "all right i'm just kidding okay aria", 'start': 754.88, 'duration': 3.12}
{'text': 'nina drama', 'start': 757.2, 'duration': 3.439}
{'text': 'was that this year oh yeah it was wow a', 'start': 758.0, 'duration': 4.76}
{'text': 'distant fifth place', 'start': 760.639, 'duration': 4.961}
{'text': 'non-drama content of the year results', 'start': 762.76, 'duration': 3.639}
{'text': 'number one', 'start': 765.6, 'duration': 4.0}
{'text': 'the yi vs pepe olympics', 'start': 766.399, 'duration': 4.801}
{'text': 'number two chess and poker with alex', 'start': 769.6, 'duration': 3.28}
{'text': 'botez close second', 'start': 771.2, 'duration': 3.439}
{'text': 'and then distant third halo with the', 'start': 772.88, 'duration': 4.0}
{'text': 'moot', 'start': 774.639, 'duration': 4.401}
{'text': "one thing that's interesting is content", 'start': 776.88, 'duration': 3.12}
{'text': 'that your community', 'start': 779.04, 'duration': 3.359}
{'text': 'like ultra loves and ultra engages with', 'start': 780.0, 'duration': 4.0}
{'text': 'tends to not really be', 'start': 782.399, 'duration': 4.401}
{'text': 'the mainstream popular content so like i', 'start': 784.0, 'duration': 4.56}
{'text': 'think my halo with mooton', 'start': 786.8, 'duration': 3.52}
{'text': 'does pretty poorly with viewership', 'start': 788.56, 'duration': 3.279}
{'text': 'composition challenges does pretty', 'start': 790.32, 'duration': 3.12}
{'text': 'poorly with viewership and the u-verse', 'start': 791.839, 'duration': 3.201}
{'text': 'pepe olympics', 'start': 793.44, 'duration': 3.36}
{'text': 'did really bad on youtube viewership but', 'start': 795.04, 'duration': 3.919}
{'text': 'decent on stream i think', 'start': 796.8, 'duration': 4.8}
{'text': 'chess with um botez did decent', 'start': 798.959, 'duration': 3.761}
{'text': "unbearable but that's because she was", 'start': 801.6, 'duration': 2.64}
{'text': 'like ultra networked at the time as a', 'start': 802.72, 'duration': 2.88}
{'text': 'streamer', 'start': 804.24, 'duration': 4.56}
{'text': 'destiny ally honorable mention', 'start': 805.6, 'duration': 5.28}
{'text': 'nathan senpai on a roman grinder w', 'start': 808.8, 'duration': 2.96}
{'text': 'simping hardware designing since', 'start': 810.88, 'duration': 1.6}
{'text': 'department oh', 'start': 811.76, 'duration': 2.079}
{'text': 'train wrecks trainwreck is a decent', 'start': 812.48, 'duration': 3.52}
{'text': 'friend i think', 'start': 813.839, 'duration': 3.361}
{'text': "he i don't think trainwreck has ever", 'start': 816.0, 'duration': 3.92}
{'text': '[\xa0__\xa0] me before', 'start': 817.2, 'duration': 2.72}
{'text': 'not that i can think of my the', 'start': 820.32, 'duration': 5.28}
{'text': 'um bose has actually been a really close', 'start': 823.839, 'duration': 3.041}
{'text': "friend that i made this year she's", 'start': 825.6, 'duration': 2.4}
{'text': 'actually insanely cool', 'start': 826.88, 'duration': 2.72}
{'text': 'but most of the stuff that involves her', 'start': 828.0, 'duration': 3.04}
{'text': 'is like not like super public facing but', 'start': 829.6, 'duration': 2.72}
{'text': "she's like a really really cool person", 'start': 831.04, 'duration': 3.52}
{'text': 'too', 'start': 832.32, 'duration': 2.24}
{'text': 'meme phrase of the year results', 'start': 834.639, 'duration': 7.0}
{'text': "number one plus you're white with an", 'start': 838.16, 'duration': 7.16}
{'text': 'overwhelming majority of the vote', 'start': 841.639, 'duration': 7.241}
{'text': "56.9 percent you're white", 'start': 845.32, 'duration': 5.319}
{'text': "number two you're dumb [\xa0__\xa0] number three", 'start': 848.88, 'duration': 4.8}
{'text': 'he misspoke number four help me', 'start': 850.639, 'duration': 5.76}
{'text': 'oh dan used to get triggered by that', 'start': 853.68, 'duration': 4.64}
{'text': 'crush [\xa0__\xa0] with rock at five hope she', 'start': 856.399, 'duration': 2.961}
{'text': 'sees this bro', 'start': 858.32, 'duration': 4.24}
{'text': "sex number seven is i'm milking", 'start': 859.36, 'duration': 4.96}
{'text': "plus you're white dude there were a lot", 'start': 862.56, 'duration': 3.36}
{'text': 'of non-white people getting real mad', 'start': 864.32, 'duration': 2.8}
{'text': 'being called white', 'start': 865.92, 'duration': 4.96}
{'text': 'on twitter holy [\xa0__\xa0] that was some good', 'start': 867.12, 'duration': 5.279}
{'text': 'memes', 'start': 870.88, 'duration': 3.84}
{'text': 'moderator of the year results number one', 'start': 872.399, 'duration': 3.12}
{'text': 'cake', 'start': 874.72, 'duration': 2.96}
{'text': 'results number two arisen number three', 'start': 875.519, 'duration': 4.801}
{'text': 'right to bear arms and number four linus', 'start': 877.68, 'duration': 5.2}
{'text': 'spin-off streamer of the year the mr', 'start': 880.32, 'duration': 3.84}
{'text': 'moon award', 'start': 882.88, 'duration': 4.8}
{'text': 'number one molina number two harkton', 'start': 884.16, 'duration': 6.88}
{'text': 'number three darius irl wow', 'start': 887.68, 'duration': 7.599}
{'text': 'dgr of the year results number one', 'start': 891.04, 'duration': 8.0}
{'text': 'k cappuccino how what', 'start': 895.279, 'duration': 5.92}
{'text': "it doesn't make sense godstony of the", 'start': 899.04, 'duration': 4.72}
{'text': 'year the 2019 winner was', 'start': 901.199, 'duration': 6.08}
{'text': "and dude hold on i don't think this is", 'start': 903.76, 'duration': 4.96}
{'text': 'explicitly political', 'start': 907.279, 'duration': 4.24}
{'text': 'go through your your videos and or sorry', 'start': 908.72, 'duration': 3.76}
{'text': 'your streams', 'start': 911.519, 'duration': 5.521}
{'text': 'and just call them ridiculous okay', 'start': 912.48, 'duration': 4.56}
{'text': 'sounds good to me um does anyone in here', 'start': 918.32, 'duration': 3.28}
{'text': "want to talk about anything else you're", 'start': 920.56, 'duration': 2.32}
{'text': 'just hurting the cause', 'start': 921.6, 'duration': 4.239}
{'text': 'sure i mean i think you are like i think', 'start': 922.88, 'duration': 4.24}
{'text': 'like this is one of the reasons why i', 'start': 925.839, 'duration': 2.481}
{'text': 'got big on the internet is because you', 'start': 927.12, 'duration': 2.0}
{'text': 'guys on the left', 'start': 928.32, 'duration': 2.8}
{'text': 'absolutely suck [\xa0__\xa0] at confrontation', 'start': 929.12, 'duration': 3.44}
{'text': "you're not willing to defend any of your", 'start': 931.12, 'duration': 2.079}
{'text': 'ideas', 'start': 932.56, 'duration': 1.76}
{'text': 'when i said on the left i mean on the', 'start': 933.199, 'duration': 3.281}
{'text': 'left side of the screen not political', 'start': 934.32, 'duration': 3.92}
{'text': "you can't substantiate anything outside", 'start': 936.48, 'duration': 3.52}
{'text': 'of like a huge video circle jerk and all', 'start': 938.24, 'duration': 3.12}
{'text': 'you do is you mischaracterize the [\xa0__\xa0]', 'start': 940.0, 'duration': 2.56}
{'text': 'out of everybody that disagrees this is', 'start': 941.36, 'duration': 2.96}
{'text': "why i got popular it's because i filled", 'start': 942.56, 'duration': 3.12}
{'text': 'a void that none of you are able okay so', 'start': 944.32, 'duration': 2.8}
{'text': "all you've done here", 'start': 945.68, 'duration': 3.279}
{'text': "shut the [\xa0__\xa0] up what you've done here", 'start': 947.12, 'duration': 3.12}
{'text': "is you've made me", 'start': 948.959, 'duration': 4.481}
{'text': "tired okay that's what you [\xa0__\xa0] did", 'start': 950.24, 'duration': 4.88}
{'text': "that's all you did i'm already", 'start': 953.44, 'duration': 3.68}
{'text': "emotionally done i've had a full day", 'start': 955.12, 'duration': 5.279}
{'text': "i'm intending to put undue", 'start': 957.12, 'duration': 3.279}
{'text': "okay what do we have for god's team", 'start': 965.04, 'duration': 3.919}
{'text': 'moments did i actually one before in cod', 'start': 966.959, 'duration': 4.721}
{'text': 'am i a god', 'start': 968.959, 'duration': 2.721}
{'text': 'oh i remember this i was such a god damn', 'start': 972.639, 'duration': 3.841}
{'text': 'i carried you so', 'start': 975.36, 'duration': 4.08}
{'text': 'hard congrats wait there might be a guy', 'start': 976.48, 'duration': 7.359}
{'text': 'jumping in there', 'start': 979.44, 'duration': 4.399}
{'text': 'why is the quality so bad 200 clicks out', 'start': 990.959, 'duration': 6.88}
{'text': 'look at that tracking who is this guy', 'start': 1000.959, 'duration': 10.88}
{'text': 'oh and he just takes out the [\xa0__\xa0]', 'start': 1004.959, 'duration': 6.88}
{'text': 'where were you dan oh', 'start': 1011.92, 'duration': 4.4}
{'text': 'oh my god the dualies', 'start': 1016.48, 'duration': 4.64}
{'text': "redactions like super chill it's really", 'start': 1019.839, 'duration': 3.041}
{'text': 'cool um but no like the problem is that', 'start': 1021.12, 'duration': 4.24}
{'text': 'like with joshua the writing was on the', 'start': 1022.88, 'duration': 4.559}
{'text': 'oh no what is this well anybody that', 'start': 1025.36, 'duration': 3.76}
{'text': "wasn't a massive [\xa0__\xa0] hack", 'start': 1027.439, 'duration': 3.201}
{'text': "oh god i keep getting worried i'm gonna", 'start': 1029.12, 'duration': 2.88}
{'text': "say something to s but i won't this is", 'start': 1030.64, 'duration': 2.96}
{'text': '2019. could see the writing on the wall', 'start': 1032.0, 'duration': 2.48}
{'text': "but mike didn't want to speak out", 'start': 1033.6, 'duration': 2.16}
{'text': 'against him because he wanted to cash in', 'start': 1034.48, 'duration': 2.8}
{'text': 'on those good twitter lefty points so', 'start': 1035.76, 'duration': 2.799}
{'text': 'they could get lefty left side of the', 'start': 1037.28, 'duration': 1.919}
{'text': 'screen by the way', 'start': 1038.559, 'duration': 1.921}
{'text': 'all that grifting done he could get all', 'start': 1039.199, 'duration': 2.64}
{'text': 'those fans in there whatever and then he', 'start': 1040.48, 'duration': 2.88}
{'text': "didn't do the turn coat until it became", 'start': 1041.839, 'duration': 3.36}
{'text': "politically expedient to do so he's like", 'start': 1043.36, 'duration': 3.199}
{'text': "okay i don't know why i said the p word", 'start': 1045.199, 'duration': 3.681}
{'text': 'there okay white destiny enters a call', 'start': 1046.559, 'duration': 4.401}
{'text': "okay these are way too spicy i can't", 'start': 1048.88, 'duration': 4.0}
{'text': 'watch these during my charity thing', 'start': 1050.96, 'duration': 4.0}
{'text': "right now i don't think i'm sorry guys", 'start': 1052.88, 'duration': 5.52}
{'text': "i remember this you've given me", 'start': 1054.96, 'duration': 6.64}
{'text': 'an embarrassment okay', 'start': 1058.4, 'duration': 3.2}
{'text': 'we have a oh i thought this was a jack', 'start': 1062.16, 'duration': 4.32}
{'text': 'allison thing', 'start': 1065.52, 'duration': 3.36}
{'text': 'oh i remember this okay but this is also', 'start': 1066.48, 'duration': 3.36}
{'text': 'political', 'start': 1068.88, 'duration': 2.24}
{'text': 'we have a white lives matter', 'start': 1069.84, 'duration': 2.4}
{'text': "organization it's called the united", 'start': 1071.12, 'duration': 3.919}
{'text': 'states of america', 'start': 1072.24, 'duration': 2.799}
{'text': 'that was so based nobody in the united', 'start': 1075.28, 'duration': 5.82}
{'text': 'states', 'start': 1078.84, 'duration': 5.38}
{'text': '[Music]', 'start': 1081.1, 'duration': 3.12}
{'text': '[\xa0__\xa0] i need to do more of these re of', 'start': 1087.12, 'duration': 4.96}
{'text': 'the year', 'start': 1090.24, 'duration': 5.28}
{'text': "the last year's winner like yes you're", 'start': 1092.08, 'duration': 5.12}
{'text': "wrong no you're already", 'start': 1095.52, 'duration': 4.48}
{'text': "i can't start rage quitting this dude", 'start': 1097.2, 'duration': 3.839}
{'text': 'that was funny', 'start': 1100.0, 'duration': 5.679}
{'text': 'what do we have number five qed', 'start': 1101.039, 'duration': 4.64}
{'text': "oh i've been the thing is wow this only", 'start': 1106.88, 'duration': 5.12}
{'text': "has 980 views and it's from", 'start': 1109.76, 'duration': 4.48}
{'text': 'dr disrespect one of the biggest', 'start': 1112.0, 'duration': 3.52}
{'text': 'streamers on the platform', 'start': 1114.24, 'duration': 4.319}
{'text': "and nobody cares it's almost like you're", 'start': 1115.52, 'duration': 3.92}
{'text': 'sexist', 'start': 1118.559, 'duration': 2.881}
{'text': "oh he didn't realize that dr disrespect", 'start': 1119.44, 'duration': 4.96}
{'text': 'was making fun of', 'start': 1121.44, 'duration': 4.96}
{'text': 'either it was either nicole or um a', 'start': 1124.4, 'duration': 3.84}
{'text': "viewer i don't remember which one", 'start': 1126.4, 'duration': 3.92}
{'text': "he he mike doesn't realize dr smith was", 'start': 1128.24, 'duration': 3.439}
{'text': 'like making fun of them', 'start': 1130.32, 'duration': 3.84}
{'text': "and he's like it's almost like you've", 'start': 1131.679, 'duration': 3.921}
{'text': 'been exposed', 'start': 1134.16, 'duration': 5.2}
{'text': 'right [\xa0__\xa0] now by me', 'start': 1135.6, 'duration': 3.76}
{'text': 'q-e-d end of debate and cells hate him', 'start': 1143.32, 'duration': 13.239}
{'text': "where's the number one post", 'start': 1152.559, 'duration': 4.0}
{'text': 'what is qed if you feel like you made a', 'start': 1161.2, 'duration': 3.68}
{'text': 'good point you said at the end of that', 'start': 1163.679, 'duration': 1.841}
{'text': 'to', 'start': 1164.88, 'duration': 2.96}
{'text': 'up your intellectual cred 10 million', 'start': 1165.52, 'duration': 3.84}
{'text': 'points', 'start': 1167.84, 'duration': 2.8}
{'text': 'oh i think it actually stands for it', 'start': 1169.36, 'duration': 2.559}
{'text': 'means something in latin and it stands', 'start': 1170.64, 'duration': 3.12}
{'text': 'for thus it is shown or something or', 'start': 1171.919, 'duration': 3.281}
{'text': "that said it's proven you put it", 'start': 1173.76, 'duration': 6.08}
{'text': 'like a proof red buff steal what is this', 'start': 1175.2, 'duration': 4.64}
{'text': 'sorry that said has been demonstrated', 'start': 1180.48, 'duration': 5.12}
{'text': "oh wait i remember this i'm sorry hold", 'start': 1183.84, 'duration': 3.36}
{'text': 'on', 'start': 1185.6, 'duration': 3.68}
{'text': 'people say the best rage clip people say', 'start': 1187.2, 'duration': 4.32}
{'text': 'league never gives us good memes', 'start': 1189.28, 'duration': 6.32}
{'text': 'hold on wait to set the stage', 'start': 1191.52, 'duration': 5.36}
{'text': "now you already know he's mad because", 'start': 1195.6, 'duration': 2.64}
{'text': "there's no camera in this clip so he's", 'start': 1196.88, 'duration': 2.64}
{'text': 'already turned his camera off so you', 'start': 1198.24, 'duration': 3.28}
{'text': "know he's super duper duper [\xa0__\xa0] mad", 'start': 1199.52, 'duration': 6.56}
{'text': 'already coming into this', 'start': 1201.52, 'duration': 19.329}
{'text': '[Music]', 'start': 1206.08, 'duration': 14.769}
{'text': 'oh', 'start': 1232.84, 'duration': 3.0}
{'text': '[Music]', 'start': 1236.64, 'duration': 13.2}
{'text': 'gotta wash it one more time', 'start': 1238.08, 'duration': 11.76}
{'text': '[Music]', 'start': 1251.32, 'duration': 6.539}
{'text': 'what makes the clip for me is the mouse', 'start': 1261.28, 'duration': 4.48}
{'text': 'movement', 'start': 1263.44, 'duration': 2.32}
{'text': 'all right what is this oh no', 'start': 1266.32, 'duration': 6.64}
{'text': 'a dan meme stop jumping run over in', 'start': 1269.52, 'duration': 5.32}
{'text': 'three', 'start': 1272.96, 'duration': 4.88}
{'text': 'two god damn it just shut the [\xa0__\xa0] up', 'start': 1274.84, 'duration': 8.199}
{'text': 'okay oh man', 'start': 1277.84, 'duration': 5.199}
{'text': 'oh my god good job guys pull us out what', 'start': 1286.799, 'duration': 4.161}
{'text': 'are you waiting for okay', 'start': 1288.88, 'duration': 3.84}
{'text': 'stop stuffing your fat [\xa0__\xa0] mouth', 'start': 1290.96, 'duration': 3.68}
{'text': 'jesus christ short and fat is no way to', 'start': 1292.72, 'duration': 5.199}
{'text': "go through life son now let's go", 'start': 1294.64, 'duration': 3.279}
{'text': 'stop stuffing your fat [\xa0__\xa0] mouth', 'start': 1300.88, 'duration': 3.76}
{'text': 'okay', 'start': 1303.44, 'duration': 3.76}
{'text': 'number two', 'start': 1304.64, 'duration': 2.56}
{'text': "thank you steven you're a genius dude", 'start': 1310.159, 'duration': 9.681}
{'text': "how you doing you're a [\xa0__\xa0] citation", 'start': 1314.4, 'duration': 5.44}
{'text': 'is perfect all right oh man and number', 'start': 1327.36, 'duration': 7.04}
{'text': 'one', 'start': 1333.919, 'duration': 2.721}
{'text': 'the number one clip of the year anything', 'start': 1334.4, 'duration': 3.12}
{'text': 'from you for this', 'start': 1336.64, 'duration': 2.56}
{'text': 'you can literally go back and look at', 'start': 1337.52, 'duration': 3.519}
{'text': 'the [\xa0__\xa0] the dms', 'start': 1339.2, 'duration': 3.92}
{'text': 'that they will openly admit i literally', 'start': 1341.039, 'duration': 3.52}
{'text': 'bought them computers and said here you', 'start': 1343.12, 'duration': 2.96}
{'text': 'get to own the means of your [\xa0__\xa0]', 'start': 1344.559, 'duration': 4.081}
{'text': 'production', 'start': 1346.08, 'duration': 2.56}
{'text': 'this way you can do whatever you want', 'start': 1354.4, 'duration': 4.96}
{'text': 'with your own computer', 'start': 1356.24, 'duration': 3.12}
{'text': 'but of course these [\xa0__\xa0] who', 'start': 1359.52, 'duration': 3.36}
{'text': 'are so', 'start': 1362.159, 'duration': 4.4}
{'text': 'horny so [\xa0__\xa0] horny to disparage', 'start': 1362.88, 'duration': 5.52}
{'text': 'someone that they [\xa0__\xa0] hate', 'start': 1366.559, 'duration': 4.24}
{'text': 'are going to rush the judgment even', 'start': 1368.4, 'duration': 3.2}
{'text': 'after this', 'start': 1370.799, 'duration': 3.041}
{'text': 'piece of [\xa0__\xa0] garbage knew that this', 'start': 1371.6, 'duration': 3.12}
{'text': 'clip was f', 'start': 1373.84, 'duration': 2.959}
{'text': 'knew that this [\xa0__\xa0] tweet was deleted', 'start': 1374.72, 'duration': 3.76}
{'text': 'and he still talked about it on his', 'start': 1376.799, 'duration': 3.041}
{'text': '[\xa0__\xa0] stream', 'start': 1378.48, 'duration': 3.36}
{'text': "because he's a piece of [\xa0__\xa0] and no", 'start': 1379.84, 'duration': 8.48}
{'text': 'different than [\xa0__\xa0] keemstar', 'start': 1381.84, 'duration': 8.319}
{'text': 'there you go i gave you a [\xa0__\xa0] shred', 'start': 1388.32, 'duration': 3.76}
{'text': 'of relevance you gnome', 'start': 1390.159, 'duration': 5.921}
{'text': '[\xa0__\xa0] oh my god anything', 'start': 1392.08, 'duration': 5.76}
{'text': "i love that you're [\xa0__\xa0] shredded", 'start': 1396.08, 'duration': 3.599}
{'text': 'irrelevant you gnome', 'start': 1397.84, 'duration': 4.079}
{'text': '[\xa0__\xa0] gee he was savage as [\xa0__\xa0] there', 'start': 1399.679, 'duration': 3.841}
{'text': "dude people watch clubs and say that i'm", 'start': 1401.919, 'duration': 3.041}
{'text': "the one that's like super mad too i", 'start': 1403.52, 'duration': 3.039}
{'text': "don't know it's funny as [\xa0__\xa0]", 'start': 1404.96, 'duration': 5.68}
{'text': 'ducker z of the year number five what is', 'start': 1406.559, 'duration': 5.441}
{'text': 'the 2019 winner', 'start': 1410.64, 'duration': 3.44}
{'text': "go home i tell you it's an office game", 'start': 1412.0, 'duration': 3.679}
{'text': "go ahead booger nick tell me how i'm off", 'start': 1414.08, 'duration': 2.88}
{'text': 'is getting please', 'start': 1415.679, 'duration': 2.801}
{'text': "please tell me i'm obviously call me", 'start': 1416.96, 'duration': 3.04}
{'text': "booger nick like you're not a pedophile", 'start': 1418.48, 'duration': 3.439}
{'text': "it's kind of i mean i'm not a pedophile", 'start': 1420.0, 'duration': 3.76}
{'text': 'let me put it this way okay this is', 'start': 1421.919, 'duration': 3.041}
{'text': 'really spicy okay', 'start': 1423.76, 'duration': 4.799}
{'text': "i don't know if we can watch this guys", 'start': 1424.96, 'duration': 6.319}
{'text': "well it's not political at least this", 'start': 1428.559, 'duration': 3.041}
{'text': 'way', 'start': 1431.279, 'duration': 1.601}
{'text': "there aren't any videos of me being a", 'start': 1431.6, 'duration': 2.559}
{'text': 'pedophile there are videos of you eating', 'start': 1432.88, 'duration': 3.52}
{'text': "boogers nick so i'll proceed to tell you", 'start': 1434.159, 'duration': 5.76}
{'text': 'dude oh my god i got him so hard on this', 'start': 1436.4, 'duration': 6.32}
{'text': 'okay number five what is number five', 'start': 1439.919, 'duration': 5.281}
{'text': 'this year', 'start': 1442.72, 'duration': 6.88}
{'text': "really yeah and i i can't", 'start': 1445.2, 'duration': 6.719}
{'text': "i'm black and slow i can't understand", 'start': 1449.6, 'duration': 3.439}
{'text': "you might be slow but there's nothing to", 'start': 1451.919, 'duration': 2.961}
{'text': 'do to be in black i promise you think so', 'start': 1453.039, 'duration': 2.961}
{'text': "i don't think so", 'start': 1454.88, 'duration': 4.96}
{'text': 'and oh my god number four', 'start': 1456.0, 'duration': 5.919}
{'text': 'uh and then also you leaving your wife', 'start': 1459.84, 'duration': 3.6}
{'text': 'and child uh to come', 'start': 1461.919, 'duration': 3.681}
{'text': 'uh uh damn i was married now dude you', 'start': 1463.44, 'duration': 3.28}
{'text': 'have so many random', 'start': 1465.6, 'duration': 2.559}
{'text': "it's like i'm listening to fiction being", 'start': 1466.72, 'duration': 2.72}
{'text': "written in real time but i guess it's", 'start': 1468.159, 'duration': 2.481}
{'text': "like a joke writer that's kind of what", 'start': 1469.44, 'duration': 1.599}
{'text': 'you are', 'start': 1470.64, 'duration': 5.519}
{'text': 'okay groomer okay groomer okay groomer', 'start': 1471.039, 'duration': 5.12}
{'text': 'i mean it seems like you could use a', 'start': 1476.32, 'duration': 3.599}
{'text': 'little bit of grooming do you think', 'start': 1477.84, 'duration': 4.16}
{'text': 'why would i say groomer why am i so mean', 'start': 1479.919, 'duration': 3.601}
{'text': 'to this guy oh no', 'start': 1482.0, 'duration': 3.679}
{'text': 'okay white boy steve he cares about', 'start': 1483.52, 'duration': 3.6}
{'text': "foreign policy first of all i'm pretty", 'start': 1485.679, 'duration': 2.88}
{'text': 'sure that obama still has a overall', 'start': 1487.12, 'duration': 3.679}
{'text': 'favor', 'start': 1488.559, 'duration': 2.24}
{'text': "let's see who are the white there's a", 'start': 1497.279, 'duration': 2.721}
{'text': 'lot of other white people besides me', 'start': 1498.72, 'duration': 2.4}
{'text': 'understand on this podcast', 'start': 1500.0, 'duration': 2.24}
{'text': "i don't think i actually heard that at", 'start': 1501.12, 'duration': 3.36}
{'text': 'the time first of all why would you call', 'start': 1502.24, 'duration': 4.08}
{'text': 'me a white boy oh no i did hear it okay', 'start': 1504.48, 'duration': 3.199}
{'text': 'after complaining about imperialism you', 'start': 1506.32, 'duration': 2.88}
{'text': 'can even find [\xa0__\xa0] pakistan on a map', 'start': 1507.679, 'duration': 2.641}
{'text': 'which is like [\xa0__\xa0] three countries', 'start': 1509.2, 'duration': 2.32}
{'text': 'away from your phone', 'start': 1510.32, 'duration': 3.68}
{'text': "okay oh wait didn't he think that", 'start': 1511.52, 'duration': 4.08}
{'text': 'pakistan was in like [\xa0__\xa0] france or', 'start': 1514.0, 'duration': 2.559}
{'text': 'some [\xa0__\xa0] when he looked at him', 'start': 1515.6, 'duration': 2.959}
{'text': "i don't remember normally i don't", 'start': 1516.559, 'duration': 4.0}
{'text': 'usually rag on people about geography', 'start': 1518.559, 'duration': 3.281}
{'text': "because my geography is [\xa0__\xa0] unless i'm", 'start': 1520.559, 'duration': 2.561}
{'text': 'specifically studying for something but', 'start': 1521.84, 'duration': 3.199}
{'text': 'um', 'start': 1523.12, 'duration': 3.2}
{'text': "it's just funny because people like this", 'start': 1525.039, 'duration': 2.801}
{'text': 'always like scream to like read theory', 'start': 1526.32, 'duration': 3.839}
{'text': 'and stuff all the time but', 'start': 1527.84, 'duration': 6.0}
{'text': 'he thought it was india oh maybe', 'start': 1530.159, 'duration': 5.76}
{'text': 'i was white boy steve dan walking right', 'start': 1533.84, 'duration': 4.48}
{'text': 'into it', 'start': 1535.919, 'duration': 2.401}
{'text': "how was uh moore's law gonna continue", 'start': 1538.72, 'duration': 3.52}
{'text': 'once we hit', 'start': 1541.279, 'duration': 3.76}
{'text': "uh half nanometer it can't right how can", 'start': 1542.24, 'duration': 4.08}
{'text': 'you go smaller than an atom', 'start': 1545.039, 'duration': 6.081}
{'text': 'for transistors oh look at your dick dan', 'start': 1546.32, 'duration': 4.8}
{'text': "i'm sorry got him walk", 'start': 1551.36, 'duration': 6.24}
{'text': 'right into it this is so mean look at', 'start': 1554.64, 'duration': 3.76}
{'text': 'your dick dan', 'start': 1557.6, 'duration': 3.199}
{'text': "what's up", 'start': 1558.4, 'duration': 2.399}
{'text': 'got him right into it damn you did dan', 'start': 1562.24, 'duration': 6.24}
{'text': 'you really did walk into that one holy', 'start': 1566.0, 'duration': 5.679}
{'text': 'damn boat has banter [\xa0__\xa0]', 'start': 1568.48, 'duration': 6.799}
{'text': 'oh my god oops i had long healthy', 'start': 1571.679, 'duration': 5.201}
{'text': 'relationships okay with people who are', 'start': 1575.279, 'duration': 3.52}
{'text': 'in the same location and not in another', 'start': 1576.88, 'duration': 2.56}
{'text': 'continent', 'start': 1578.799, 'duration': 1.841}
{'text': "i didn't know we were counting family", 'start': 1579.44, 'duration': 3.359}
{'text': "now oh at least i didn't cheat on my", 'start': 1580.64, 'duration': 4.0}
{'text': 'significant others', 'start': 1582.799, 'duration': 3.441}
{'text': "well that's easy to do when nobody's", 'start': 1584.64, 'duration': 3.36}
{'text': 'interested in you', 'start': 1586.24, 'duration': 4.08}
{'text': "no i'm just a nice faithful human being", 'start': 1588.0, 'duration': 3.44}
{'text': 'something you could take notes about', 'start': 1590.32, 'duration': 2.719}
{'text': "destiny that's good if i was you i would", 'start': 1591.44, 'duration': 2.8}
{'text': 'need faith in god to get through every', 'start': 1593.039, 'duration': 2.64}
{'text': 'day', 'start': 1594.24, 'duration': 4.48}
{'text': 'oh my god oh', 'start': 1595.679, 'duration': 5.681}
{'text': 'oh sorry', 'start': 1598.72, 'duration': 2.64}
{'text': 'jesus come on i drew my seat destiny why', 'start': 1602.0, 'duration': 5.2}
{'text': 'is this not on the list of docker z of', 'start': 1605.36, 'duration': 2.799}
{'text': 'the year', 'start': 1607.2, 'duration': 4.16}
{'text': 'what is this resolve street right', 'start': 1608.159, 'duration': 6.481}
{'text': "yeah i put pic don't listen", 'start': 1611.36, 'duration': 4.64}
{'text': "you've had the wrong rules three games", 'start': 1614.64, 'duration': 2.72}
{'text': "in a row don't worry about my runes", 'start': 1616.0, 'duration': 2.559}
{'text': 'worry about you yeah but like if you', 'start': 1617.36, 'duration': 2.48}
{'text': "don't have my fat or anything like that", 'start': 1618.559, 'duration': 2.881}
{'text': 'on your room page if you want resolve', 'start': 1619.84, 'duration': 3.76}
{'text': "it's gonna just [\xa0__\xa0] you up don't care", 'start': 1621.44, 'duration': 4.8}
{'text': "what's gonna [\xa0__\xa0] me up what if you have", 'start': 1623.6, 'duration': 3.52}
{'text': 'a fat', 'start': 1626.24, 'duration': 2.88}
{'text': "i don't know what my fat means a fat", 'start': 1627.12, 'duration': 3.75}
{'text': 'dick in your ass', 'start': 1629.12, 'duration': 7.46}
{'text': '[Laughter]', 'start': 1630.87, 'duration': 5.71}
{'text': 'how did this one not even make the top', 'start': 1637.279, 'duration': 4.0}
{'text': 'five omega lowell', 'start': 1638.84, 'duration': 5.24}
{'text': 'of the year the 2019 winner i think a', 'start': 1641.279, 'duration': 3.841}
{'text': 'good argument is saying', 'start': 1644.08, 'duration': 2.719}
{'text': 'content to philosophy overall was pretty', 'start': 1645.12, 'duration': 3.6}
{'text': '[\xa0__\xa0] stupid so yeah', 'start': 1646.799, 'duration': 3.521}
{'text': 'so but and then not being able to give', 'start': 1648.72, 'duration': 3.36}
{'text': 'an argument for that so', 'start': 1650.32, 'duration': 3.68}
{'text': "you're just stating the conclusion and", 'start': 1652.08, 'duration': 3.839}
{'text': "can't back it up in any single way", 'start': 1654.0, 'duration': 5.12}
{'text': "but it's still good okay then i'm just", 'start': 1655.919, 'duration': 4.48}
{'text': "asking you to back it up that's", 'start': 1659.12, 'duration': 4.48}
{'text': 'it i just did', 'start': 1660.399, 'duration': 5.921}
{'text': 'i love this [\xa0__\xa0] jesus christ', 'start': 1663.6, 'duration': 3.199}
